institutionCode,datasetName,individualCount,year processed,month processed,class processed,order processed,family processed,genus processed,vernacularName processed,scientificName processed
Natural Resources Wales,,F,1961,6,Gastropoda,Littorinimorpha,Littorinidae,Melarhaphe,Small Periwinkle,Melarhaphe neritoides
Natural Resources Wales,,2,2004,5,Bivalvia,Myoida,Corbulidae,Corbula,Common basket-shell,Corbula gibba
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1994,7,Bivalvia,Mytiloida,Mytilidae,Mytilus,Blue Mussel,Mytilus edulis
Natural Resources Wales,,2,1998,6,Bivalvia,Veneroida,Montacutidae,Kurtiella,,Kurtiella bidentata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1971,6,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2015,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
NRW,Welsh Invertebrate Database (WID),1+,2003,6,Gastropoda,Pulmonata,Helicidae,Cornu,Common Garden Snail,Cornu aspersum
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,01-Sep,1992,4,Gastropoda,Hygrophila,Planorbidae,Ancylus,River limpets,Ancylus fluviatilis
Natural Resources Wales,,1,2000,7,Bivalvia,Veneroida,Psammobiidae,Gari,Faroe Sunset Shell,Gari fervensis
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Littorinimorpha,Bithyniidae,Bithynia,Common Bithynia,Bithynia tentaculata
BIS,Natural Resources Wales Regional Data : Mid-Wales,,1989,7,Gastropoda,Pulmonata,Euconulidae,Euconulus,,Euconulus (Euconulus) cf. alderi
NRW,Welsh Invertebrate Database (WID),70,1997,,Gastropoda,Hygrophila,Planorbidae,Gyraulus,White Ramshorn,Gyraulus (Gyraulus) albus
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2000,5,Bivalvia,Veneroida,Sphaeriidae,,Pea & orb mussels,Sphaeriidae
Natural Resources Wales,,P,2010,5,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera quadrilineata
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2015,9,Bivalvia,[unassigned] Euheterodonta,Pharidae,Pharus,,Pharus legumen
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,8,2004,9,Gastropoda,Hygrophila,Planorbidae,,Indet. Ramshorn,Planorbidae
Natural Resources Wales,,3,2009,4,Bivalvia,,,,Bivalves,Bivalvia
SEWBReC,NRW Regional Data : South East Wales Non-Sensitive Species Records,,2002,9,Gastropoda,,Trochidae,Gibbula,Grey Top Shell,Steromphala cineraria
SEWBReC,SEWBReC Molluscs (South Wales),,2016,3,Gastropoda,Pulmonata,Hygromiidae,Trochulus,Strawberry Snail,Trochulus (Trochulus) striolatus
NRW,Welsh Invertebrate Database (WID),,1985,5,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Natural Resources Wales,,1,2007,3,Bivalvia,Veneroida,Veneridae,Dosinia,Smooth Artemis,Dosinia lupinus
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1901,9,Gastropoda,Pulmonata,Limacidae,Limax,Leopard Slug,Limax maximus
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1997,7,Bivalvia,Veneroida,Tellinidae,Asbjornsenia,,Asbjornsenia pygmaea
NRW,Welsh Invertebrate Database (WID),2,1987,6,Gastropoda,Hygrophila,Planorbidae,Anisus,White-lipped Ramshorn,Anisus (Anisus) leucostoma
NRW,Welsh Invertebrate Database (WID),72,2006,10,Gastropoda,Pulmonata,Vertiginidae,Vertigo,Common Whorl Snail,Vertigo (Vertigo) pygmaea
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2007,7,Gastropoda,Littorinimorpha,Littorinidae,Melarhaphe,Small Periwinkle,Melarhaphe neritoides
Natural Resources Wales,,3,2008,5,Bivalvia,Nuculida,Nuculidae,Nucula,,Nucula nitidosa
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine molluscs (1999 Atlas dataset),,1965,,Gastropoda,Pulmonata,Clausiliidae,Clausilia,Two-toothed Door Snail,Clausilia (Clausilia) bidentata
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,1983,12,Gastropoda,Pulmonata,Agriolimacidae,Deroceras,Marsh Slug,Deroceras (Deroceras) laeve
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,2003,7,Bivalvia,Veneroida,Veneridae,Turtonia,,Turtonia minuta
Conchological Society of Great Britain & Ireland,Mollusc (marine) data for Great Britain and Ireland,,1991,8,Bivalvia,[unassigned] Euheterodonta,Hiatellidae,Hiatella,Wrinkled Rock Borer,Hiatella arctica
Natural Resources Wales,,P,1990,6,Gastropoda,Nudibranchia,Polyceridae,Polycera,,Polycera quadrilineata
SEWBReC,SEWBReC Molluscs (South Wales),,1992,10,Gastropoda,Hygrophila,Lymnaeidae,Radix,Wandering Snail,Radix balthica
Conchological Society of Great Britain & Ireland,Conchological Society of Great Britain & Ireland: non-marine mollusc records,,2003,,Gastropoda,Pulmonata,,Lauria,Common Chrysalis Snail,Lauria (Lauria) cylindracea
Natural Resources Wales,,P,1991,12,Bivalvia,Veneroida,Mactridae,Mactra,Rayed Trough Shell,Mactra stultorum
Natural Resources Wales,,3,2001,12,Bivalvia,Veneroida,Cardiidae,Cerastoderma,Common Cockle,Cerastoderma edule
NRW,KiEco Freshwater Ecology: River Macroinvertebrates,1,2010,6,Gastropoda,Littorinimorpha,Hydrobiidae,,Mud-snails,Hydrobiidae
