Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate
"Capel Eithin, group 78",CAR-618,4370BC - 3960BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.","Date is too early, suggesting the sample is residual (White and Smith 1999, 34).",N
"Capel Eithin, group 78",CAR-797,5630BC - 5310BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.","Date is too early, suggesting the sample is residual (White and Smith 1999, 40).",N
"Capel Eithin, group Y",CAR-481,3660BC - 3350BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, group Z",CAR-446,2840BC - 2200BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, group Z",CAR-447,2140BC - 1740BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, isolated pit 46",CAR-488,3350BC - 2870BC,Wales,Isle of Anglesey,Charcoal (including hazel nutshells),Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, south of cremation cemetery",CAR-486,1440BC - 1110BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
"Capel Eithin, south of cremation cemetery",CAR-487,1600BC - 1260BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Neolithic domestic occupation,  Bronze Age funerary activity, a Romano-British structure and an early medieval cemetery.",[None recorded],N
Carrog,SUERC-33064,3640BC - 3370BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33068,780BC - 410BC,Wales,Isle of Anglesey,Charcoal (oak),AMS,Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33069,810BC - 590BC,Wales,Isle of Anglesey,Charcoal (oak),AMS,Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33070,770BC - 400BC,Wales,Isle of Anglesey,Charcoal (alder),AMS,Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33071,790BC - 530BC,Wales,Isle of Anglesey,Charcoal (oak),AMS,Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33072,780BC - 420BC,Wales,Isle of Anglesey,Charcoal (willow),AMS,Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33073,AD720 - AD950,Wales,Isle of Anglesey,Charcoal (willow),[Not recorded],Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
Carrog,SUERC-33074,3350BC - 3020BC,Wales,Isle of Anglesey,Charcoal (hazel),[Not recorded],Bronze / Iron Age hilltop enclosure with earlier and later settlement evidence.,[None recorded],N
"Castell, Porth Trefadog",CAR-902,AD1160 - AD1380,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-903,AD980 - AD1220,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-904,AD1160 - AD1390,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-905,AD1180 - AD1400,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-906,AD1010 - AD1420,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-907,AD770 - AD1040,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-908,AD980 - AD1230,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-909,AD1050 - AD1290,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
"Castell, Porth Trefadog",CAR-910,AD1030 - AD1280,Wales,Isle of Anglesey,Charcoal,Radiometric,"12th century promontory fort containing a house, erected on the remains of an earlier fortification.",[None recorded],Y
Castellior,CAR-1545,3780BC - 3380BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Two enclosures, one Romano-British, the other possibly more recent.",[None recorded],N
Castellior,CAR-1546,170BC - AD340,Wales,Isle of Anglesey,Charcoal,Radiometric,"Two enclosures, one Romano-British, the other possibly more recent.",[None recorded],N
Castellior,CAR-1547,AD130 - AD530,Wales,Isle of Anglesey,Charcoal,Radiometric,"Two enclosures, one Romano-British, the other possibly more recent.",[None recorded],N
"Cefn Cwmwd, S1",Wk-9284,400BC - 160BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase pit circle.,[None recorded],Y
"Cefn Cwmwd, S16",Wk-9551,360BC - AD50,Wales,Isle of Anglesey,"Charcoal (oak, willow/poplar, elder, gorse, prunus)",Radiometric,Group of pits and natural features.,"Date is at variance with Neoithic pottery suggesting residuality / intrusion (Cuttler et al 2012, 41).",Y
"Cefn Cwmwd, S9",Wk-9288,1910BC - 1530BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age cremation cemetery.,[None recorded],Y
"Cefn Cwmwd, S9",Wk-9289,2130BC - 1760BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Bronze Age cremation cemetery.,[None recorded],Y
"Cefn Cwmwd, site C2/3",Wk-9548,1630BC - 1270BC,Wales,Isle of Anglesey,"Charcoal (barley, 3 grains; cereal, 1 grain)",AMS,Burnt mound.,[None recorded],Y
"Cefn Cwmwd, structure 4",Wk-9285,160BC - AD230,Wales,Isle of Anglesey,Charcoal,Radiometric,8.6m diameter roundhouse.,[None recorded],Y
"Cefn Cwmwd, structure 4",Wk-9437,200BC - AD320,Wales,Isle of Anglesey,"Charcoal (5 oat grains, 1 cereal grain)",Radiometric,8.6m diameter roundhouse.,[None recorded],Y
"Cefn Cwmwd, structure 5",Wk-9286,380BC - 0BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Well-preserved multiphase circular building with internal diameter 5.6m.,[None recorded],Y
"Cefn Cwmwd, structure 5",Wk-9287,AD120 - AD410,Wales,Isle of Anglesey,Charcoal,Radiometric,Well-preserved multiphase circular building with internal diameter 5.6m.,[None recorded],Y
"Cefn Cwmwd, structure 5",Wk-9436,,Wales,Isle of Anglesey,Charcoal (twigs),Radiometric,Well-preserved multiphase circular building with internal diameter 5.6m.,[None recorded],Y
"Cefn Cwmwd, structure 6",Wk-9281,50BC - AD240,Wales,Isle of Anglesey,"Charcoal (wheat, grain)",Radiometric,"Bronze Age cemetery, and extensive later prehistoric and Romano-British settlement remains.",[None recorded],Y
"Cefn Cwmwd, structure 6",Wk-9282,AD20 - AD340,Wales,Isle of Anglesey,"Charcoal (cereal, grain)",Radiometric,Pit group underlying roundhouse.,[None recorded],Y
"Cefn Cwmwd, structure 8",Wk-9283,AD130 - AD530,Wales,Isle of Anglesey,"Charcoal (cereal, grain)",Radiometric,Possible circular building with 6m internal diameter.,[None recorded],Y
"Cefn Du, medieval corn drying kiln",Wk-9275,AD980 - AD1280,Wales,Isle of Anglesey,"Charcoal (cereal, grain)",Radiometric,Medieval corn dryer.,[None recorded],Y
"Cefn Du, pit group S5",WK-9278,3640BC - 3350BC,Wales,Isle of Anglesey,Charcoal,Radiometric,"Group of 9 pits, 6 in an arc, some containing pottery and one a lithic.",[None recorded],Y
