FUM-nr,X,Antal_dele,Emne_ord,Placering,Dansk_navn,Latinsk_navn,Antal_fossiler,Fund_oplysninger,Notater,Lokalitet,Finder,Fossilets_dimensioner,e,Beskaffenhed,Bevaringstilstand,Foto,Bilag,Beskrevet_af,Udlånsstatus,Opbevares,Box_nr.,Status,Kontaktoplysninger
430,,,fisk/neoclupavus/kran.+ ½ krop,,,,,,,,,,,,,,,,,m,,×,
431,,,fisk-st.sild-neo./kran. + bagkrop,,,,,,,,,,,,,,,,,m,,×,
432,,,fisk-st.sild-neo./beskadigede hele fisk,,,,,,,,,,,,,,,Se emnekort.,,m,,×,
433,,,inv.musling/delvis skjult i matrisen,,,,,,,,,,,,,,,,,m,,×,
434,,,inv-snegle og diatomeer/hele+fragm.,,,,,,,,,,,,,,,,,m,,×,
435,,,inv-snegle/forv. Fragm.,,,,,,,,,,,,,,,,,m,,×,
436,,,inv-snegle+diatomeer/brudstykker,,,,,,,,,,,,,,,,,m,,×,
437,,,fisk-/ 2 skæl,,,,,,,,,,,,,,,,,m,,×,
438,,,inv-musling/hel aftryk,,,,,,,,,,,,,,,,,m,,×,
439,,,inv-snegle/brudstykker + hele,,,,,,,,,,,,,,,,,m-stue,,×,
440,,,fisk/1stk. + bot.ester.,,,,,,,,,,,,,,,,,mgl.v. rev 04. ,,÷,
441,,,fisk-st. sild/neoclupavus/hel ,,,,,,,,,,,,,,,,,m,,×,
442,,,inv-musl.snegle/hele + brudte,,,,,,,,,,,,,,,,,m,,×,
443,,,fisk-st.sild-neo./hele+fragm.,,,,,,,,,,,,,,,Se emnekort.,,m,,×,
444,,,fisk-ubest/gempylid ?? /knogler,,,,,,,,,,,,,,,,,m,,×,
445,,,ins-bredtæge/krop + vinge,,,,,,,,,,,,,,,,,m,,×,
446,,,ins-bredtæge + ins-cikade/krop,,,,,,,,,,,,,,,,,m,,×,
447,,,ins-netvinge/vinge,,,,,,,,,,,,,,,Udlånt i 81. Ikke tilbageleveret.,,,,÷,
448,,,ins-netvinge/vinge,,,,,,,,,,,,,,,Udlånt i 81. Ikke tilbageleveret.,,,,÷,
449,,,ins-vårfluer/krop + skygge af bagkrop.,,,,,,,,,,,,,,,,,m,,×,
450,,,ins-cikade/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
451,,,ins-cikade/hel,,,,,,,,,,,,,,,,,m,,×,
452,,,ins-cikade/krop+vinger,,,,,,,,,,,,,,,,,m,,×,
453,,,ins-cikade/krop+vinger,,,,,,,,,,,,,,,,Udlånt til Dr. Julian Petrulevicius,m,,×,
454,,,ins-flue+vårflue,,,,,,,,,,,,,,,,,m,,×,
455,,,ins-randtæge/krop+hoved,,,,,,,,,,,,,,,,,m,,×,
456,,,ins-vandnymfe/vinge,,,,,,,,,,,,,,,Udlånt i 81. Ikke tilbageleveret.,,,,÷,
457,,,ins- tæge+ins-cikade/hoved+krop,,,,,,,,,,,,,,,A er i magasin - men hvor er B ?????   2010,,m + ?  ,,×,
458,,,fisk-ubest./knogler fra kranium,,,,,,,,,,,,,,,Se emnekort.,,????,,×,
459,,,fisk-st.sild/neoclupavus/hel + andet,,,,,,,,,,,,,,,Se emnekort.,,m,,×,
460,,,fisk-ubest./tand,,,,,,,,,,,,,,,,,m,,×,
461,,,fisk-st.sild-neo.hele fisk+kran.,,,,,,,,,,,,,,,,,m,,×,
462,,,fisk-st.sild/neoclupavus/hele+fragm.,,,,,,,,,,,,,,,,,m,,×,
463,,,fisk-st.sild/neoclupavus/larver/hele,,,,,,,,,,,,,,,skal renses,,m,,×,
