Name,Lab,Range,Country,Local authority,Material,Technique,Description of site,Reservations,Certificate,,Enw,Lab,Maes,Gwlad,Awdurdod Lleol,Deunydd,Techneg,Disgrifiad o'r safle,Amheuon,Tystysgrif
Bryn Eryr,CAR-1060,770BC - 200BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1060,770BC - 200BC,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1061,20BC - AD250,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1061,20BC - AD250,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1062,50BC - AD320,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1062,50BC - AD320,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1063,100BC - AD210,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1063,100BC - AD210,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1064,170BC - AD130,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1064,170BC - AD130,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1065,60BC - AD230,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-1065,60BC - AD230,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-1222,350BC - AD90,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1222,350BC - AD90,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-1223,AD20 - AD380,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1223,AD20 - AD380,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-1224,AD30 - AD390,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1224,AD30 - AD390,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-1225,20BC - AD340,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1225,20BC - AD340,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-1226,5370BC - 4850BC,Wales,Isle of Anglesey,Charcoal (?oak),Radiometric,Multiphase rectangular earthwork containing roundhouses.,"Date is listed as anomalous (Longley 1998, 262).",N,,Bryn Eryr,CAR-1226,5370BC - 4850BC,Cymru,Ynys Môn,Golosg (?derw),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,"Dyddiad wedi ei restru fel anomalaidd (Longley 1998, 262).",N
Bryn Eryr,CAR-1227,1370BC - 900BC,Wales,Isle of Anglesey,[Not recorded],Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1227,1370BC - 900BC,Cymru,Ynys Môn,[Heb ei gofnodi],Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-1228,750BC - 190BC,Wales,Isle of Anglesey,Charcoal,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-1228,750BC - 190BC,Cymru,Ynys Môn,Golosg,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-944,AD70 - AD420,Wales,Isle of Anglesey,Wood (large piece),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-944,AD70 - AD420,Cymru,Ynys Môn,Pren (darn mawr),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-945,100BC - AD210,Wales,Isle of Anglesey,Wood (small),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],N,,Bryn Eryr,CAR-945,100BC - AD210,Cymru,Ynys Môn,Pren (bach),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],N
Bryn Eryr,CAR-946,370BC - AD50,Wales,Isle of Anglesey,Wood,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-946,370BC - AD50,Cymru,Ynys Môn,Pren,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-947,360BC - AD80,Wales,Isle of Anglesey,Wood,Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-947,360BC - AD80,Cymru,Ynys Môn,Pren,Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-989,AD70 - AD410,Wales,Isle of Anglesey,"Wood (large piece, middle part)",Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-989,AD70 - AD410,Cymru,Ynys Môn,"Pren (darn mawr, rhan ganol)",Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-990,200BC - AD90,Wales,Isle of Anglesey,"Wood (large piece, inner part)",Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-990,200BC - AD90,Cymru,Ynys Môn,"Pren (darn mawr, rhan fewnol)",Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Eryr,CAR-999,AD120 - AD420,Wales,Isle of Anglesey,Charcoal (floated fragments),Radiometric,Multiphase rectangular earthwork containing roundhouses.,[None recorded],Y,,Bryn Eryr,CAR-999,AD120 - AD420,Cymru,Ynys Môn,Golosg (darnau'n arnofio),Radiometrig,Cloddwaith hirsgwar amlgyfnod yn cynnwys tai crwn.,[Heb eu cofnodi],Y
Bryn Gwyn stone circle,SUERC-39677,3020BC - 2880BC,Wales,Isle of Anglesey,"Cremated bone (human, lower limb, fragment)",AMS,16m diameter stone circle.,[None recorded],N,,Cylch Cerrig Bryn Gwyn,SUERC-39677,3020BC - 2880BC,Cymru,Ynys Môn,"Asgwrn amlosgedig (dynol, aelod isaf, darn)",AMS,Cylch cerrig 16m mewn diametr.,[Heb eu cofnodi],N
Bryn Gwyn stone circle,SUERC-39678,2890BC - 2630BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,16m diameter stone circle.,[None recorded],N,,Cylch Cerrig Bryn Gwyn,SUERC-39678,2890BC - 2630BC,Cymru,Ynys Môn,Golosg (coll),AMS,Cylch cerrig 16m mewn diametr.,[Heb eu cofnodi],N
Bryn Gwyn stone circle,SUERC-39679,1750BC - 1610BC,Wales,Isle of Anglesey,Charcoal (hazel),AMS,16m diameter stone circle.,[None recorded],N,,Cylch Cerrig Bryn Gwyn,SUERC-39679,1750BC - 1610BC,Cymru,Ynys Môn,Golosg (coll),AMS,Cylch cerrig 16m mewn diametr.,[Heb eu cofnodi],N
